id;name;is_closed;url;review_count;categories;rating;coordinates;transactions;price;location;distance;neighborhood;borough
ywP0OEqRC6sp4NK1-QhW-g;Parm;False;https://www.yelp.com/biz/parm-new-york-4?adjust_creative=3St_XrQdTUSTQzgpC2-OKA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3St_XrQdTUSTQzgpC2-OKA;485;['Italian', 'Sandwiches'];3.1;{'latitude': 40.714473491420726, 'longitude': -74.01609333303082};['pickup', 'delivery'];Medium;{'address1': '250 Vesey St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10081', 'country': 'US', 'state': 'NY', 'display_address': ['250 Vesey St', 'New York, NY 10081']};318.072.025.472.342;Battery Park City;Manhattan
WG639VkTjmK5dzydd1BBJA;Rubirosa;False;https://www.yelp.com/biz/rubirosa-new-york-2?adjust_creative=3St_XrQdTUSTQzgpC2-OKA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3St_XrQdTUSTQzgpC2-OKA;3436;['Italian', 'Pizza'];4.3;{'latitude': 40.722766, 'longitude': -73.996233};['pickup'];Medium;{'address1': '235 Mulberry St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['235 Mulberry St', 'New York, NY 10012']};20.832.329.096.094.200;Battery Park City;Manhattan
pL2tig3FxJcrZ4wDIO4TsA;Eataly NYC Downtown;False;https://www.yelp.com/biz/eataly-nyc-downtown-new-york-2?adjust_creative=3St_XrQdTUSTQzgpC2-OKA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3St_XrQdTUSTQzgpC2-OKA;1359;['Grocery', 'Italian', 'Cafes'];3.6;{'latitude': 40.710206, 'longitude': -74.011823};['pickup', 'delivery'];Medium;{'address1': '101 Liberty St', 'address2': 'Fl 3', 'address3': '', 'city': 'New York', 'zip_code': '10006', 'country': 'US', 'state': 'NY', 'display_address': ['101 Liberty St', 'Fl 3', 'New York, NY 10006']};40.294.566.979.224.600;Battery Park City;Manhattan
pk89jzL1RsE9U0thf_z6tw;Locanda Verde;False;https://www.yelp.com/biz/locanda-verde-new-york-3?adjust_creative=3St_XrQdTUSTQzgpC2-OKA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3St_XrQdTUSTQzgpC2-OKA;1893;['Italian', 'Cocktail Bars', 'Breakfast & Brunch'];3.9;{'latitude': 40.7198601300801, 'longitude': -74.010039072422};['pickup', 'delivery'];High;{'address1': '377 Greenwich St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['377 Greenwich St', 'New York, NY 10013']};10.494.745.304.674.300;Battery Park City;Manhattan
OCTiJwvjoK81WoDwsTkFvA;Paesano of Mulberry Street;False;https://www.yelp.com/biz/paesano-of-mulberry-street-new-york?adjust_creative=3St_XrQdTUSTQzgpC2-OKA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3St_XrQdTUSTQzgpC2-OKA;1602;['Italian', 'Salad', 'Seafood'];4.1;{'latitude': 40.718554, 'longitude': -73.997447};['pickup', 'restaurant_reservation', 'delivery'];Medium;{'address1': '136 Mulberry St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['136 Mulberry St', 'New York, NY 10013']};1.750.900.737.420.610;Battery Park City;Manhattan
xKIv_b2L2pUHmsoJ-xOepg;Gran Morsi;False;https://www.yelp.com/biz/gran-morsi-new-york?adjust_creative=3St_XrQdTUSTQzgpC2-OKA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3St_XrQdTUSTQzgpC2-OKA;545;['Italian', 'Venues & Event Spaces', 'Cocktail Bars'];4.4;{'latitude': 40.714312, 'longitude': -74.007791};['pickup', 'delivery'];High;{'address1': '22 Warren St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10007', 'country': 'US', 'state': 'NY', 'display_address': ['22 Warren St', 'New York, NY 10007']};7.626.832.294.388.090;Battery Park City;Manhattan
f8ipr8Wdy1_wHhw7JgNqPQ;Da Claudio;False;https://www.yelp.com/biz/da-claudio-new-york?adjust_creative=3St_XrQdTUSTQzgpC2-OKA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3St_XrQdTUSTQzgpC2-OKA;660;['Italian', 'Cocktail Bars', 'Seafood'];4.2;{'latitude': 40.71087, 'longitude': -74.00753};['pickup', 'restaurant_reservation', 'delivery'];High;{'address1': '21 Ann St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10038', 'country': 'US', 'state': 'NY', 'display_address': ['21 Ann St', 'New York, NY 10038']};7.284.842.433.918.850;Battery Park City;Manhattan
fuS39acPaRi38DhSSwEI4Q;Felice 15 Gold;False;https://www.yelp.com/biz/felice-15-gold-new-york?adjust_creative=3St_XrQdTUSTQzgpC2-OKA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3St_XrQdTUSTQzgpC2-OKA;489;['Wine Bars', 'Tuscan'];4.1;{'latitude': 40.70789, 'longitude': -74.00712};['pickup', 'delivery'];High;{'address1': '15 Gold St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10038', 'country': 'US', 'state': 'NY', 'display_address': ['15 Gold St', 'New York, NY 10038']};8.620.971.165.093.730;Battery Park City;Manhattan
PQd4M3cuSgdweWgLgZIslQ;Inatteso Pizzabar;False;https://www.yelp.com/biz/inatteso-pizzabar-new-york?adjust_creative=3St_XrQdTUSTQzgpC2-OKA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3St_XrQdTUSTQzgpC2-OKA;372;['Italian', 'Pizza'];3.9;{'latitude': 40.7056571, 'longitude': -74.0172056};['pickup', 'delivery'];Medium;{'address1': '28 West St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10004', 'country': 'US', 'state': 'NY', 'display_address': ['28 West St', 'New York, NY 10004']};6.263.666.341.483.340;Battery Park City;Manhattan
8qSOz7oTPUUCafsMOBBNEQ;Pisillo Italian Panini;False;https://www.yelp.com/biz/pisillo-italian-panini-new-york?adjust_creative=3St_XrQdTUSTQzgpC2-OKA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3St_XrQdTUSTQzgpC2-OKA;767;['Italian', 'Sandwiches'];4.6;{'latitude': 40.710558, 'longitude': -74.007594};['pickup', 'delivery'];Medium;{'address1': '97 Nassau St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10038', 'country': 'US', 'state': 'NY', 'display_address': ['97 Nassau St', 'New York, NY 10038']};7.259.938.609.382.500;Battery Park City;Manhattan
